,income_total_count,census_tract,less_than_10000_percentage_total,10000_to_14999_percentage_total,15000_to_19999_percentage_total,20000_to_24999_percentage_total,25000_to_29999_percentage_total,30000_to_34999_percentage_total,35000_to_39999_percentage_total,40000_to_44999_percentage_total,45000_to_49999_percentage_total,50000_to_59999_percentage_total,60000_to_74999_percentage_total,75000_to_99999_percentage_total,100000_to_124999_percentage_total,125000_to_149999_percentage_total,150000_to_199999_percentage_total,200000_or_more_percentage_total
"Census Tract 32.02, Denver County, Colorado!!Estimate","2,011",08031003202,0.05818000994530084,0.02187966185977126,0.05818000994530084,0.006464445549477871,0.05967180507210343,0.03381402287419195,0.0174042764793635,0.029338637493784188,0.05370462456489309,0.08552958727001492,0.12182993535554451,0.07608155146693188,0.09696668324216808,0.139234211834908,0.06862257583291895,0.0730979612133267
"Census Tract 32.03, Denver County, Colorado!!Estimate","1,302",08031003203,0.023809523809523808,0.0,0.0,0.01228878648233487,0.0,0.02457757296466974,0.015360983102918587,0.0,0.008448540706605223,0.0314900153609831,0.06758832565284179,0.07450076804915515,0.07987711213517665,0.042242703533026116,0.07296466973886329,0.5468509984639017
"Census Tract 32.04, Denver County, Colorado!!Estimate","1,213",08031003204,0.014014839241549877,0.0,0.05441055234954658,0.08161582852431987,0.0,0.046166529266281946,0.06183017312448475,0.038746908491343775,0.06595218466611706,0.11129431162407255,0.10469909315746084,0.09645507007419621,0.1170651277823578,0.060181368507831824,0.08821104699093157,0.05935696619950536
"Census Tract 32.05, Denver County, Colorado!!Estimate","2,063",08031003205,0.06592341250605914,0.06156083373727581,0.0174503150751333,0.00872515753756665,0.028599127484246242,0.05913717886572952,0.08676684440135725,0.018904507998061076,0.0465341735336888,0.07367910809500727,0.11100339311682017,0.0664081434803684,0.050412021328162866,0.04217159476490548,0.12166747455162386,0.14105671352399418
"Census Tract 33, Denver County, Colorado!!Estimate","1,360",08031003300,0.03308823529411765,0.03455882352941177,0.022058823529411766,0.011029411764705883,0.04926470588235294,0.025735294117647058,0.01911764705882353,0.016176470588235296,0.010294117647058823,0.0375,0.05588235294117647,0.0625,0.11544117647058824,0.07058823529411765,0.12720588235294117,0.3095588235294118
"Census Tract 34.01, Denver County, Colorado!!Estimate","1,307",08031003401,0.013006885998469778,0.017597551644988524,0.00612088752869166,0.029839326702371844,0.006885998469778117,0.0,0.020657995409334353,0.020657995409334353,0.020657995409334353,0.07498087222647284,0.03902065799540933,0.10328997704667177,0.10941086457536343,0.07957153787299158,0.10405508798775823,0.35424636572302987
"Census Tract 34.02, Denver County, Colorado!!Estimate","1,806",08031003402,0.022702104097452935,0.011627906976744186,0.013289036544850499,0.02602436323366556,0.004429678848283499,0.013842746400885935,0.010520487264673311,0.013842746400885935,0.013842746400885935,0.046511627906976744,0.024916943521594685,0.059800664451827246,0.09191583610188261,0.03709856035437431,0.15559246954595793,0.4540420819490587
"Census Tract 35.01, Denver County, Colorado!!Estimate",822,08031003501,0.08637469586374696,0.03527980535279805,0.05474452554744526,0.06082725060827251,0.06934306569343066,0.032846715328467155,0.0,0.0,0.07542579075425791,0.08394160583941605,0.1435523114355231,0.21897810218978103,0.06082725060827251,0.019464720194647202,0.03527980535279805,0.023114355231143552
"Census Tract 35.02, Denver County, Colorado!!Estimate",893,08031003502,0.043673012318029114,0.08958566629339305,0.0167973124300112,0.048152295632698766,0.05039193729003359,0.0011198208286674132,0.07838745800671892,0.0671892497200448,0.1276595744680851,0.023516237402015677,0.1019036954087346,0.11086226203807391,0.10638297872340426,0.025755879059350503,0.032474804031354984,0.0761478163493841
"Census Tract 36.01, Denver County, Colorado!!Estimate","1,614",08031003601,0.06071871127633209,0.11152416356877323,0.03283767038413878,0.04151177199504337,0.04399008674101611,0.03345724907063197,0.04708798017348203,0.021065675340768277,0.03469640644361834,0.058240396530359353,0.037794299876084264,0.10594795539033457,0.11524163568773234,0.09169764560099132,0.06071871127633209,0.10346964064436183
"Census Tract 36.02, Denver County, Colorado!!Estimate","1,607",08031003602,0.08525202240199128,0.03298070939639079,0.06782825140012445,0.07467330429371499,0.014934660858743,0.005600497822028625,0.005600497822028625,0.06160547604231487,0.08027380211574363,0.09520846297448662,0.09583074051026758,0.10205351586807716,0.09458618543870566,0.04044803982576229,0.10703173615432483,0.03609209707529558
"Census Tract 36.03, Denver County, Colorado!!Estimate","1,434",08031003603,0.14644351464435146,0.029288702928870293,0.028591352859135284,0.01603905160390516,0.01813110181311018,0.013249651324965132,0.043933054393305436,0.03347280334728033,0.03207810320781032,0.05578800557880056,0.10460251046025104,0.09414225941422594,0.0502092050209205,0.056485355648535567,0.1506276150627615,0.12691771269177127
