,race_total_count,census_tract,white_alone_percentage_total,black_or_african_american_alone_percentage_total,american_indian_and_alaska_native_alone_percentage_total,asian_alone_percentage_total,native_hawaiian_and_other_pacific_islander_alone_percentage_total,some_other_race_alone_percentage_total
"Census Tract 93.22, Adams County, Colorado","3,940",08001009322,0.616243654822335,0.02614213197969543,0.023096446700507613,0.07944162436548223,0.0017766497461928934,0.2532994923857868
"Census Tract 93.23, Adams County, Colorado","3,075",08001009323,0.6861788617886179,0.04065040650406504,0.0367479674796748,0.07967479674796749,0.0,0.1567479674796748
"Census Tract 93.25, Adams County, Colorado","5,146",08001009325,0.8264671589584143,0.030120481927710843,0.012825495530509134,0.06198989506412748,0.000582977069568597,0.06801399144966964
"Census Tract 93.26, Adams County, Colorado","2,314",08001009326,0.8634399308556612,0.010803802938634399,0.00864304235090752,0.08772687986171132,0.0,0.029386343993085567
"Census Tract 93.27, Adams County, Colorado","3,585",08001009327,0.7829846582984659,0.02092050209205021,0.021199442119944213,0.05439330543933055,0.0,0.1205020920502092
"Census Tract 94.01, Adams County, Colorado","3,994",08001009401,0.7363545317976965,0.008763144717075613,0.026039058587881823,0.057336004006009016,0.0007511266900350526,0.17075613420130195
"Census Tract 94.06, Adams County, Colorado","3,723",08001009406,0.7649744829438625,0.020145044319097503,0.0182648401826484,0.05828632822992211,0.0013430029546065002,0.136986301369863
"Census Tract 94.07, Adams County, Colorado","4,086",08001009407,0.7244248653940284,0.024473813020068527,0.021536955457660302,0.0714635340186001,0.0007342143906020558,0.15736661771904062
"Census Tract 94.08, Adams County, Colorado","4,308",08001009408,0.8500464252553389,0.015088207985143919,0.006267409470752089,0.09493964716805943,0.0020891364902506965,0.031569173630454965
"Census Tract 94.09, Adams County, Colorado","5,251",08001009409,0.868786897733765,0.012378594553418396,0.006284517234812417,0.0738906874880975,0.0022852789944772423,0.03637402399542944
"Census Tract 94.10, Adams County, Colorado","3,028",08001009410,0.9005944517833554,0.012219286657859974,0.009577278731836196,0.04986789960369881,0.001321003963011889,0.026420079260237782
"Census Tract 94.11, Adams County, Colorado","2,605",08001009411,0.8710172744721689,0.0272552783109405,0.013051823416506719,0.029174664107485603,0.0011516314779270633,0.058349328214971206
"Census Tract 95.01, Adams County, Colorado","2,586",08001009501,0.5788863109048724,0.02165506573859242,0.023588553750966745,0.06225831399845321,0.0,0.31361175560711524
"Census Tract 95.02, Adams County, Colorado","4,707",08001009502,0.6114297854259614,0.011259825791374549,0.022944550669216062,0.0556617803271723,0.0008497981729339282,0.29785425961334183
"Census Tract 95.53, Adams County, Colorado","2,925",08001009553,0.6167521367521368,0.028034188034188036,0.037606837606837605,0.037606837606837605,0.00547008547008547,0.27452991452991454
