"GEO_ID","NAME","B25024_001E","B25024_001EA","B25024_001M","B25024_001MA","B25024_002E","B25024_002EA","B25024_002M","B25024_002MA","B25024_003E","B25024_003M","B25024_003MA","B25024_003EA","B25024_004E","B25024_004M","B25024_004MA","B25024_004EA","B25024_005E","B25024_005EA","B25024_005M","B25024_005MA","B25024_006E","B25024_006EA","B25024_006M","B25024_006MA","B25024_007E","B25024_007M","B25024_007MA","B25024_007EA","B25024_008E","B25024_008M","B25024_008MA","B25024_008EA","B25024_009E","B25024_009M","B25024_009MA","B25024_009EA","B25024_010E","B25024_010EA","B25024_010M","B25024_010MA","B25024_011E","B25024_011EA","B25024_011M","B25024_011MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!1, detached","Annotation of Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Annotation of Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Annotation of Margin of Error!!Total:!!1, attached","Annotation of Estimate!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Annotation of Margin of Error!!Total:!!2","Annotation of Estimate!!Total:!!2","Estimate!!Total:!!3 or 4","Annotation of Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Annotation of Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Annotation of Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Annotation of Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Annotation of Margin of Error!!Total:!!10 to 19","Annotation of Estimate!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Annotation of Margin of Error!!Total:!!20 to 49","Annotation of Estimate!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Annotation of Margin of Error!!Total:!!50 or more","Annotation of Estimate!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Annotation of Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Annotation of Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Annotation of Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.","Annotation of Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US08059011720","Census Tract 117.20, Jefferson County, Colorado","2088","null","253","null","1848","null","263","null","41","48","null","null","23","34","null","null","49","null","57","null","30","null","35","null","77","54","null","null","20","32","null","null","0","18","null","null","0","null","18","null","0","null","18","null",
"1400000US08059011721","Census Tract 117.21, Jefferson County, Colorado","1314","null","177","null","661","null","110","null","150","47","null","null","0","13","null","null","60","null","56","null","41","null","40","null","69","58","null","null","322","156","null","null","11","17","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011723","Census Tract 117.23, Jefferson County, Colorado","1897","null","209","null","179","null","62","null","484","112","null","null","0","13","null","null","60","null","56","null","164","null","130","null","389","125","null","null","478","138","null","null","143","76","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011724","Census Tract 117.24, Jefferson County, Colorado","2685","null","248","null","2450","null","230","null","226","98","null","null","0","18","null","null","9","null","14","null","0","null","18","null","0","18","null","null","0","18","null","null","0","18","null","null","0","null","18","null","0","null","18","null",
"1400000US08059011725","Census Tract 117.25, Jefferson County, Colorado","767","null","138","null","762","null","139","null","0","13","null","null","0","13","null","null","0","null","13","null","5","null","9","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011726","Census Tract 117.26, Jefferson County, Colorado","2244","null","206","null","1802","null","156","null","180","89","null","null","0","18","null","null","17","null","27","null","101","null","79","null","0","18","null","null","21","32","null","null","0","18","null","null","13","null","20","null","110","null","162","null",
"1400000US08059011727","Census Tract 117.27, Jefferson County, Colorado","1512","null","112","null","1284","null","134","null","161","54","null","null","7","12","null","null","0","null","13","null","0","null","13","null","40","34","null","null","0","13","null","null","20","17","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011728","Census Tract 117.28, Jefferson County, Colorado","1187","null","150","null","947","null","149","null","118","58","null","null","19","30","null","null","69","null","47","null","14","null","23","null","20","23","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011729","Census Tract 117.29, Jefferson County, Colorado","2237","null","312","null","199","null","75","null","545","169","null","null","181","212","null","null","84","null","41","null","455","null","151","null","423","153","null","null","276","127","null","null","74","68","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011730","Census Tract 117.30, Jefferson County, Colorado","1691","null","128","null","361","null","69","null","450","129","null","null","9","14","null","null","245","null","83","null","366","null","88","null","59","47","null","null","111","68","null","null","90","75","null","null","0","null","13","null","0","null","13","null",
